Key,Source,Context,Changes,English,russian
BatonMasteryRank1LongDesc,progression,skills,New,"Increase your entity damage and attack speed with stun batons by 6%","Увеличивает урон и скорость атаки жезлами на 6%."
BatonMasteryRank2LongDesc,progression,skills,New,"Increase your entity damage and attack speed with stun batons by 12%","Увеличивает урон и скорость атаки жезлами на 12%."
BatonMasteryRank3LongDesc,progression,skills,New,"Increase your entity damage and attack speed with stun batons by 18%","Увеличивает урон и скорость атаки жезлами на 18%."
BatonMasteryRank4LongDesc,progression,skills,New,"Increase your entity damage and attack speed with stun batons by 24%","Увеличивает урон и скорость атаки жезлами на 24%."
BatonMasteryRank5LongDesc,progression,skills,New,"Increase your entity damage and attack speed with stun batons by 30%. Also gives you an additional chance of 15% to knock down enemies.","Увеличивает урон и скорость атаки жезлами на 30%. Добавляет 15% к шансу опрокинуть врага."

SpearMasteryName,progression,skills,New,Spear Mastery,Великий удлинитель
SpearMasteryDesc,progression,skills,New,You've mastered the arts of the spear.,Вы прекрасно обращаетесь с копьями
SpearMasteryRank1Desc,progression,skills,New,"+6% Entity Damage, Range, Attack Speed","+6% к урону, скорости и дальности атаки копий"
SpearMasteryRank2Desc,progression,skills,New,"+12% Entity Damage, Range, Attack Speed","+12% к урону, скорости и дальности атаки копий"
SpearMasteryRank3Desc,progression,skills,New,"+18% Entity Damage, Range, Attack Speed","+18% к урону, скорости и дальности атаки копий"
SpearMasteryRank4Desc,progression,skills,New,"+24% Entity Damage, Range, Attack Speed","+24% к урону, скорости и дальности атаки копий"
SpearMasteryRank5Desc,progression,skills,New,"+30% Entity Damage, Range, Attack Speed","+30% к урону, скорости и дальности атаки копий"
SpearMasteryRank1LongDesc,progression,skills,New,"Increase your entity damage, range and attack speed with spears by 6%","Урон, скорость и дальность атаки копий увеличиваются на 6%."
SpearMasteryRank2LongDesc,progression,skills,New,"Increase your entity damage, range and attack speed with spears by 12%","Урон, скорость и дальность атаки копий увеличиваются на 12%."
SpearMasteryRank3LongDesc,progression,skills,New,"Increase your entity damage, range and attack speed with spears by 18%","Урон, скорость и дальность атаки копий увеличиваются на 18%."
SpearMasteryRank4LongDesc,progression,skills,New,"Increase your entity damage, range and attack speed with spears by 24%","Урон, скорость и дальность атаки копий увеличиваются на 24%."
SpearMasteryRank5LongDesc,progression,skills,New,"Increase your entity damage, range and attack speed with spears by 30%.","Урон, скорость и дальность атаки копий увеличиваются на 30%."

SalvagerName,progression,skills,New,Disassembling Knowledge,Вселенский разборщик
SalvagerDesc,progression,skills,New,You've acquired the knowledge to better learn how to gather more resources while salvaging mechanical and electrical objects.,"Вы натренировались разбирать всё, что угодно до последнего винтика."
SalvagerRank1Desc,progression,skills,New,"+6% more Salvage, Block Damage and Attack Speed","+6% к получаемым ресурсам, урону по блокам и скорости атаки инструментами."
SalvagerRank2Desc,progression,skills,New,"+12% more Salvage, Block Damage and Attack Speed","+12% к получаемым ресурсам, урону по блокам и скорости атаки инструментами."
SalvagerRank3Desc,progression,skills,New,"+18% more Salvage, Block Damage and Attack Speed","+18% к получаемым ресурсам, урону по блокам и скорости атаки инструментами."
SalvagerRank4Desc,progression,skills,New,"+24% more Salvage, Block Damage and Attack Speed","+24% к получаемым ресурсам, урону по блокам и скорости атаки инструментами."
SalvagerRank5Desc,progression,skills,New,"+30% more Salvage, Block Damage and Attack Speed","+30% к получаемым ресурсам, урону по блокам и скорости атаки инструментами."
SalvagerRank1LongDesc,progression,skills,New,"Gather rate of salvage, block damage and attack speed with disassembling tools is increased by 6%.","Получаемые с помощью инструментов для разбора ресурсы, а также урон по блокам и скорость атаки увеличены на 6%."
SalvagerRank2LongDesc,progression,skills,New,"Gather rate of salvage, block damage and attack speed with disassembling tools is increased by 12%.","Получаемые с помощью инструментов для разбора ресурсы, а также урон по блокам и скорость атаки увеличены на 12%."
SalvagerRank3LongDesc,progression,skills,New,"Gather rate of salvage, block damage and attack speed with disassembling tools is increased by 18%.","Получаемые с помощью инструментов для разбора ресурсы, а также урон по блокам и скорость атаки увеличены на 18%."
SalvagerRank4LongDesc,progression,skills,New,"Gather rate of salvage, block damage and attack speed with disassembling tools is increased by 24%.","Получаемые с помощью инструментов для разбора ресурсы, а также урон по блокам и скорость атаки увеличены на 24%."
SalvagerRank5LongDesc,progression,skills,New,"Gather rate of salvage, block damage and attack speed with disassembling tools is increased by 30%.","Получаемые с помощью инструментов для разбора ресурсы, а также урон по блокам и скорость атаки увеличены на 30%."

ExplosivesMasteryName,progression,skills,New,Explosives Mastery,"Гранаты, фугасы, взрываю красиво"
ExplosivesMasteryDesc,progression,skills,New,"You really do love fireworks, right? Vastly increase your damage with explosives.","Вы действительно любите фейерверки. Вся взрывчатка наносит повышенный урон"
ExplosivesMasteryRank1Desc,progression,skills,New,"+6% Entity Damage, Weapon Handling, Reload Speed.","+6% к урону по врагам, удобству прицеливания и перезарядке взрывчатки"
ExplosivesMasteryRank2Desc,progression,skills,New,"+12% Entity Damage, Weapon Handling, Reload Speed.","+12% к урону по врагам, удобству прицеливания и перезарядке взрывчатки"
ExplosivesMasteryRank3Desc,progression,skills,New,"+18% Entity Damage, Weapon Handling, Reload Speed.","+18% к урону по врагам, удобству прицеливания и перезарядке взрывчатки"
ExplosivesMasteryRank4Desc,progression,skills,New,"+24% Entity Damage, Weapon Handling, Reload Speed.","+24% к урону по врагам, удобству прицеливания и перезарядке взрывчатки"
ExplosivesMasteryRank5Desc,progression,skills,New,"+30% Entity Damage, Weapon Handling, Reload Speed.\n+10% Dismember Chance.","+30% к урону по врагам, удобству прицеливания и перезарядке взрывчатки\n+10% к шансу расчленения"
ExplosivesMasteryRank1LongDesc,progression,skills,New,"Increase your entity damage, weapon handling and reload speed with explosives by 6%","Увеличивает урон по врагам, удобство прицеливания и скорость перезарядки для всей взрывчатки на 6%."
ExplosivesMasteryRank2LongDesc,progression,skills,New,"Increase your entity damage, weapon handling and reload speed with explosives by 12%","Увеличивает урон по врагам, удобство прицеливания и скорость перезарядки для всей взрывчатки на 12%."
ExplosivesMasteryRank3LongDesc,progression,skills,New,"Increase your entity damage, weapon handling and reload speed with explosives by 18%","Увеличивает урон по врагам, удобство прицеливания и скорость перезарядки для всей взрывчатки на 18%."
ExplosivesMasteryRank4LongDesc,progression,skills,New,"Increase your entity damage, weapon handling and reload speed with explosives by 24%","Увеличивает урон по врагам, удобство прицеливания и скорость перезарядки для всей взрывчатки на 24%."
ExplosivesMasteryRank5LongDesc,progression,skills,New,"Increase entity damage, weapon handling and reload speed with explosives by 30%. Explosives have an additional 10% chance to dismember.","Увеличивает урон по врагам, удобство прицеливания и скорость перезарядки для всей взрывчатки на 30%. Шанс расчленения выше на 10%."

BowMasteryName,progression,skills,New,Bow Mastery,Робин Excellent
BowMasteryDesc,progression,skills,New,You've mastered the arts of the bow.,Вы достигли мастерства в обращении с луком.
BowMasteryRank1Desc,progression,skills,New,"+6% Fire Rate, Entity Damage, Weapon Handling, Reload Speed.","+6% к скорости стрельбы, удобству прицеливания, урону по врагам и скорости перезарядки луков/арбалетов."
BowMasteryRank2Desc,progression,skills,New,"+12% Fire Rate, Entity Damage, Weapon Handling, Reload Speed.","+12% к скорости стрельбы, удобству прицеливания, урону по врагам и скорости перезарядки луков/арбалетов."
BowMasteryRank3Desc,progression,skills,New,"+18% Fire Rate, Entity Damage, Weapon Handling, Reload Speed.","+18% к скорости стрельбы, удобству прицеливания, урону по врагам и скорости перезарядки луков/арбалетов."
BowMasteryRank4Desc,progression,skills,New,"+24% Fire Rate, Entity Damage, Weapon Handling, Reload Speed.","+24% к скорости стрельбы, удобству прицеливания, урону по врагам и скорости перезарядки луков/арбалетов."
BowMasteryRank5Desc,progression,skills,New,"+30% Fire Rate, Entity Damage, Weapon Handling, Reload Speed.","+30% к скорости стрельбы, удобству прицеливания, урону по врагам и скорости перезарядки луков/арбалетов."
BowMasteryRank1LongDesc,progression,skills,New,"Increase your fire rate, entity damage, weapon handling and reload speed with bows by 6%","Увеличивает скорость стрельбы, удобство прицеливания и урон по врагам на 6%."
BowMasteryRank2LongDesc,progression,skills,New,"Increase your fire rate, entity damage, weapon handling and reload speed with bows by 12%","Увеличивает скорость стрельбы, удобство прицеливания и урон по врагам на 12%."
BowMasteryRank3LongDesc,progression,skills,New,"Increase your fire rate, entity damage, weapon handling and reload speed with bows by 18%","Увеличивает скорость стрельбы, удобство прицеливания и урон по врагам на 18%."
BowMasteryRank4LongDesc,progression,skills,New,"Increase your fire rate, entity damage, weapon handling and reload speed with bows by 24%","Увеличивает скорость стрельбы, удобство прицеливания и урон по врагам на 24%."
BowMasteryRank5LongDesc,progression,skills,New,"Increase your fire rate, entity damage, weapon handling and reload speed with bows by 30%.","Увеличивает скорость стрельбы, удобство прицеливания и урон по врагам на 30%."

RifleMasteryName,progression,skills,New,Rifle Mastery,Винторез
RifleMasteryDesc,progression,skills,New,You've mastered the arts of the rifle.,"Любые винтовки идеально ложатся вам в руки. Кроме автоматических."
RifleMasteryRank1Desc,progression,skills,New,"+6% Fire Rate, Entity Damage, Weapon Handling, Reload Speed.","+6% к скорости стрельбы, удобству прицеливания, урону по врагам и скорости перезарядки винтовок."
RifleMasteryRank2Desc,progression,skills,New,"+12% Fire Rate, Entity Damage, Weapon Handling, Reload Speed.","+12% к скорости стрельбы, удобству прицеливания, урону по врагам и скорости перезарядки винтовок."
RifleMasteryRank3Desc,progression,skills,New,"+18% Fire Rate, Entity Damage, Weapon Handling, Reload Speed.","+18% к скорости стрельбы, удобству прицеливания, урону по врагам и скорости перезарядки винтовок."
RifleMasteryRank4Desc,progression,skills,New,"+24% Fire Rate, Entity Damage, Weapon Handling, Reload Speed.","+24% к скорости стрельбы, удобству прицеливания, урону по врагам и скорости перезарядки винтовок."
RifleMasteryRank5Desc,progression,skills,New,"+30% Fire Rate, Entity Damage, Weapon Handling, Reload Speed.\nignore 20% Armor","+30% к скорости стрельбы, удобству прицеливания, урону по врагам и скорости перезарядки винтовок.\nПри попадании игнорируется 20% брони цели."
RifleMasteryRank1LongDesc,progression,skills,New,"Increase your fire rate, entity damage, weapon handling and reload speed with rifles by 6%","Скорость стрельбы, удобство прицеливания, урон по врагам и скорость перезарядки не автоматических винтовок увеличиваются на 6%."
RifleMasteryRank2LongDesc,progression,skills,New,"Increase your fire rate, entity damage, weapon handling and reload speed with rifles by 12%","Скорость стрельбы, удобство прицеливания, урон по врагам и скорость перезарядки не автоматических винтовок увеличиваются на 12%."
RifleMasteryRank3LongDesc,progression,skills,New,"Increase your fire rate, entity damage, weapon handling and reload speed with rifles by 18%","Скорость стрельбы, удобство прицеливания, урон по врагам и скорость перезарядки не автоматических винтовок увеличиваются на 18%."
RifleMasteryRank4LongDesc,progression,skills,New,"Increase your fire rate, entity damage, weapon handling and reload speed with rifles by 24%","Скорость стрельбы, удобство прицеливания, урон по врагам и скорость перезарядки не автоматических винтовок увеличиваются на 24%."
RifleMasteryRank5LongDesc,progression,skills,New,"Increase your fire rate, entity damage, weapon handling and reload speed with rifles by 30% and ignore an additional 20% of the targets armor.","Скорость стрельбы, удобство прицеливания, урон по врагам и скорость перезарядки не автоматических винтовок увеличиваются на 30%. При попадании игнорируется 20% брони цели."

MGMasteryName,progression,skills,New,MG Mastery,"Ррр-ра-та-та-та!"
MGMasteryDesc,progression,skills,New,You've mastered the arts of automatic rifles.,Вы достигли мастерства в обращении с автоматическим оружием.
MGMasteryRank1Desc,progression,skills,New,"+6% Fire Rate, Entity Damage, Weapon Handling, Reload Speed, Clip Size.","+6% к скорости стрельбы, урону по врагам, удобству прицеливания, скорости перезарядки и размеру обоймы автоматического оружия."
MGMasteryRank2Desc,progression,skills,New,"+12% Fire Rate, Entity Damage, Weapon Handling, Reload Speed, Clip Size.","+12% к скорости стрельбы, урону по врагам, удобству прицеливания, скорости перезарядки и размеру обоймы автоматического оружия."
MGMasteryRank3Desc,progression,skills,New,"+18% Fire Rate, Entity Damage, Weapon Handling, Reload Speed, Clip Size.","+18% к скорости стрельбы, урону по врагам, удобству прицеливания, скорости перезарядки и размеру обоймы автоматического оружия."
MGMasteryRank4Desc,progression,skills,New,"+24% Fire Rate, Entity Damage, Weapon Handling, Reload Speed, Clip Size.","+24% к скорости стрельбы, урону по врагам, удобству прицеливания, скорости перезарядки и размеру обоймы автоматического оружия."
MGMasteryRank5Desc,progression,skills,New,"+30% Fire Rate, Entity Damage, Weapon Handling, Reload Speed, Clip Size\n-12,5% Degradation.","+30% к скорости стрельбы, урону по врагам, удобству прицеливания, скорости перезарядки и размеру обоймы автоматического оружия.\n-12,5% к износу оружия."
MGMasteryRank1LongDesc,progression,skills,New,"Increase your fire rate, entity damage, weapon handling, clip size and reload speed with machine guns by 6%","Скорость стрельбы, урон по врагам, удобство прицеливания, скорость перезарядки и размер обоймы автоматического оружия увеличиваются на 6%."
MGMasteryRank2LongDesc,progression,skills,New,"Increase your fire rate, entity damage, weapon handling, clip size and reload speed with machine guns by 12%","Скорость стрельбы, урон по врагам, удобство прицеливания, скорость перезарядки и размер обоймы автоматического оружия увеличиваются на 12%."
MGMasteryRank3LongDesc,progression,skills,New,"Increase your fire rate, entity damage, weapon handling, clip size and reload speed with machine guns by 18%","Скорость стрельбы, урон по врагам, удобство прицеливания, скорость перезарядки и размер обоймы автоматического оружия увеличиваются на 18%."
MGMasteryRank4LongDesc,progression,skills,New,"Increase your fire rate, entity damage, weapon handling, clip size and reload speed with machine guns by 24%","Скорость стрельбы, урон по врагам, удобство прицеливания, скорость перезарядки и размер обоймы автоматического оружия увеличиваются на 24%."
MGMasteryRank5LongDesc,progression,skills,New,"Increase your fire rate, entity damage, weapon handling, clip size and reload speed with machine guns by 30%. Also reduce their degradation by 12,5%.","Скорость стрельбы, урон по врагам, удобство прицеливания, скорость перезарядки и размер обоймы автоматического оружия увеличиваются на 30%. Износ оружия такого типа уменьшается на 12,5%."

SidearmMasteryName,progression,skills,New,Sidearm Mastery,Самая быстрая рука
SidearmMasteryDesc,progression,skills,New,You've mastered the arts of sidearms.,"Пистолеты и их разновидности знакомы вам, как свои пять пальцев."
SidearmMasteryRank1Desc,progression,skills,New,"+6% Fire Rate, Entity Damage, Weapon Handling, Reload Speed, Clip Size.","+6% к скорости стрельбы, урона по врагам, удобству прицеливания, скорости перезарядки и размеру обоймы ПП и пистолетов"
SidearmMasteryRank2Desc,progression,skills,New,"+12% Fire Rate, Entity Damage, Weapon Handling, Reload Speed, Clip Size.","+12% к скорости стрельбы, урона по врагам, удобству прицеливания, скорости перезарядки и размеру обоймы ПП и пистолетов"
SidearmMasteryRank3Desc,progression,skills,New,"+18% Fire Rate, Entity Damage, Weapon Handling, Reload Speed, Clip Size.","+18% к скорости стрельбы, урона по врагам, удобству прицеливания, скорости перезарядки и размеру обоймы ПП и пистолетов"
SidearmMasteryRank4Desc,progression,skills,New,"+24% Fire Rate, Entity Damage, Weapon Handling, Reload Speed, Clip Size.","+24% к скорости стрельбы, урона по врагам, удобству прицеливания, скорости перезарядки и размеру обоймы ПП и пистолетов"
SidearmMasteryRank5Desc,progression,skills,New,"+30% Fire Rate, Entity Damage, Weapon Handling, Reload Speed, Clip Size\n+12,5% Accuracy.","+30% к скорости стрельбы, урона по врагам, удобству прицеливания, скорости перезарядки и размеру обоймы ПП и пистолетов\n+12,5% к точности."
SidearmMasteryRank1LongDesc,progression,skills,New,"Increase your fire rate, entity damage, weapon handling, clip size, reload speed with sidearms by 6%","Скорость стрельбы, урон по врагам, удобство прицеливания, скорость перезарядки и размер обоймы пистолетов и ПП увеличиваются на 6%."
SidearmMasteryRank2LongDesc,progression,skills,New,"Increase your fire rate, entity damage, weapon handling, clip size, reload speed with sidearms by 12%","Скорость стрельбы, урон по врагам, удобство прицеливания, скорость перезарядки и размер обоймы пистолетов и ПП увеличиваются на 12%."
SidearmMasteryRank3LongDesc,progression,skills,New,"Increase your fire rate, entity damage, weapon handling, clip size, reload speed with sidearms by 18%","Скорость стрельбы, урон по врагам, удобство прицеливания, скорость перезарядки и размер обоймы пистолетов и ПП увеличиваются на 18%."
SidearmMasteryRank4LongDesc,progression,skills,New,"Increase your fire rate, entity damage, weapon handling, clip size, reload speed with sidearms by 24%","Скорость стрельбы, урон по врагам, удобство прицеливания, скорость перезарядки и размер обоймы пистолетов и ПП увеличиваются на 24%."
SidearmMasteryRank5LongDesc,progression,skills,New,"Increase your fire rate, entity damage, weapon handling, clip size, reload speed with sidearms by 30% and reduce their spread by an additional 12,5%.","Скорость стрельбы, урон по врагам, удобство прицеливания, скорость перезарядки и размер обоймы пистолетов и ПП увеличиваются на 30%. Точность повышается на 12,5%"

ShotgunMasteryName,progression,skills,New,Shotgun Mastery,"Уже-не-бомж с дробовиком"
ShotgunMasteryDesc,progression,skills,New,You've mastered the arts of the shotgun.,Мастерство дробовика вы отточили до смертельного совершенства.
ShotgunMasteryRank1Desc,progression,skills,New,"+6% Fire Rate, Entity Damage, Weapon Handling, Reload Speed, Clip Size.","+6% к скорости стрельбы, урону по врагам, удобству прицеливания, скорости перезарядки и размеру обоймы дробовиков."
ShotgunMasteryRank2Desc,progression,skills,New,"+12% Fire Rate, Entity Damage, Weapon Handling, Reload Speed, Clip Size.","+12% к скорости стрельбы, урону по врагам, удобству прицеливания, скорости перезарядки и размеру обоймы дробовиков."
ShotgunMasteryRank3Desc,progression,skills,New,"+18% Fire Rate, Entity Damage, Weapon Handling, Reload Speed, Clip Size.","+18% к скорости стрельбы, урону по врагам, удобству прицеливания, скорости перезарядки и размеру обоймы дробовиков."
ShotgunMasteryRank4Desc,progression,skills,New,"+24% Fire Rate, Entity Damage, Weapon Handling, Reload Speed, Clip Size.","+24% к скорости стрельбы, урону по врагам, удобству прицеливания, скорости перезарядки и размеру обоймы дробовиков."
ShotgunMasteryRank5Desc,progression,skills,New,"+30% Fire Rate, Entity Damage, Weapon Handling, Reload Speed, Clip Size,\n+2m effective range.","+30% к скорости стрельбы, урону по врагам, удобству прицеливания, скорости перезарядки и размеру обоймы дробовиков.\n+2 м к дальности."
ShotgunMasteryRank1LongDesc,progression,skills,New,"Increase your fire rate, entity damage, weapon handling, clip size and reload speed with shotguns by 6%","Скорость стрельбы, урон по врагам, удобство прицеливания, скорость перезарядки и размер обоймы у дробовиков увеличены на 6%."
ShotgunMasteryRank2LongDesc,progression,skills,New,"Increase your fire rate, entity damage, weapon handling, clip size and reload speed with shotguns by 12%","Скорость стрельбы, урон по врагам, удобство прицеливания, скорость перезарядки и размер обоймы у дробовиков увеличены на 12%."
ShotgunMasteryRank3LongDesc,progression,skills,New,"Increase your fire rate, entity damage, weapon handling, clip size and reload speed with shotguns by 18%","Скорость стрельбы, урон по врагам, удобство прицеливания, скорость перезарядки и размер обоймы у дробовиков увеличены на 18%."
ShotgunMasteryRank4LongDesc,progression,skills,New,"Increase your fire rate, entity damage, weapon handling, clip size and reload speed with shotguns by 24%","Скорость стрельбы, урон по врагам, удобство прицеливания, скорость перезарядки и размер обоймы у дробовиков увеличены на 24%."
ShotgunMasteryRank5LongDesc,progression,skills,New,"Increase your fire rate, entity damage, weapon handling, clip size and reload speed with shotguns by 30%. Increase the maximum range at which shotguns deal full damage by 2m.","Скорость стрельбы, урон по врагам, удобство прицеливания, скорость перезарядки и размер обоймы у дробовиков увеличены на 30%. Дальность, на которой дробовики наносят полный урон, больше на 2 м"

SneakDamageName,progression,skills,New,Sneak Damage,Тихо и больно
SneakDamageDesc,progression,skills,New,Increase your Sneak Damage against unaware enemies.,Урон исподтишка по ничего не подозревающим врагам увеличивается.
SneakDamageRank1Desc,progression,skills,New,+20% Sneak Damage,+20% к урону исподтишка
SneakDamageRank2Desc,progression,skills,New,+40% Sneak Damage,+40% к урону исподтишка
SneakDamageRank3Desc,progression,skills,New,+60% Sneak Damage,+60% к урону исподтишка
SneakDamageRank4Desc,progression,skills,New,+80% Sneak Damage,+80% к урону исподтишка
SneakDamageRank5Desc,progression,skills,New,+100% Sneak Damage,+100% к урону исподтишка
SneakDamageRank1LongDesc,progression,skills,New,Increase Sneak Damage by 20%,Урон исподтишка увеличивается на 20%.
SneakDamageRank2LongDesc,progression,skills,New,Increase Sneak Damage by 40%,Урон исподтишка увеличивается на 40%.
SneakDamageRank3LongDesc,progression,skills,New,Increase Sneak Damage by 60%,Урон исподтишка увеличивается на 60%.
SneakDamageRank4LongDesc,progression,skills,New,Increase Sneak Damage by 80%,Урон исподтишка увеличивается на 80%.
SneakDamageRank5LongDesc,progression,skills,New,Increase Sneak Damage by 100%,Урон исподтишка увеличивается на 100%.

StealthName,progression,skills,New,Stealth,Скрытень
StealthDesc,progression,skills,New,You're a sneaky mongrel thus enemies have an even harder time to detect you.,"Вас гораздо сложнее обнаружить, а ещё вы почему-то более умело обращаетесь с отмычками."
StealthDamageRank1Desc,progression,skills,New,-4% visibility and noise\nLockpicks are 3% more efficient,"-4% к заметности и производимому шуму\nОтмычки на 3% эффективнее."
StealthDamageRank2Desc,progression,skills,New,-8% visibility and noise\nLockpicks are 6% more efficient,"-8% к заметности и производимому шуму\nОтмычки на 6% эффективнее."
StealthDamageRank3Desc,progression,skills,New,-12% visibility and noise\nLockpicks are 9% more efficient,"-12% к заметности и производимому шуму\nОтмычки на 9% эффективнее."
StealthDamageRank4Desc,progression,skills,New,-16% visibility and noise\nLockpicks are 12% more efficient,"-16% к заметности и производимому шуму\nОтмычки на 12% эффективнее."
StealthDamageRank5Desc,progression,skills,New,-20% visibility and noise\nLockpicks are 15% more efficient,"-20% к заметности и производимому шуму\nОтмычки на 15% эффективнее."
StealthDamageRank1LongDesc,progression,skills,New,Decrease your visibility in light and the noise you make while crouching by 4%. Pick locks 3% faster and break less lockpicks.,"Уменьшает заметность и производимый шум на 4%. Отмычки ломаются реже, а взлом быстрее на 3%." 
StealthDamageRank2LongDesc,progression,skills,New,Decrease your visibility in light and the noise you make while crouching by 8%. Pick locks 6% faster and break less lockpicks.,"Уменьшает заметность и производимый шум на 8%. Отмычки ломаются реже, а взлом быстрее на 6%." 
StealthDamageRank3LongDesc,progression,skills,New,Decrease your visibility in light and the noise you make while crouching by 12%. Pick locks 9% faster and break less lockpicks.,"Уменьшает заметность и производимый шум на 12%. Отмычки ломаются реже, а взлом быстрее на 9%." 
StealthDamageRank4LongDesc,progression,skills,New,Decrease your visibility in light and the noise you make while crouching by 16%. Pick locks 12% faster and break less lockpicks.,"Уменьшает заметность и производимый шум на 16%. Отмычки ломаются реже, а взлом быстрее на 12%." 
StealthDamageRank5LongDesc,progression,skills,New,Decrease your visibility in light and the noise you make while crouching by 20%. Pick locks 15% faster and break less lockpicks.,"Уменьшает заметность и производимый шум на 20%. Отмычки ломаются реже, а взлом быстрее на 15%."
