Key,File,Type,UsedInMainMenu,english,russian
modGunReflexSightDesc,item_modifiers,mod,,This sight is designed for fast target acquisition and improves weapon handling.,"Прицел создан для быстрого обнаружения цели. Улучшает управляемость оружия.\nУстанавливается на почти всё оружие дальнего боя, кроме луков и арбалетов.\nНесовместима с другими модификациями такого же типа."
modGunTriggerGroupSemi,item_modifiers,mod,,Trigger Group: Semi Mod,"Спусковой механизм: Модификация «Полуавтоматический» [73E9B2]УСМ[-]"
modGunTriggerGroupSemiDesc,item_modifiers,mod,,Modifies the trigger group to fire semi-auto only.\nIncreases the rate of fire and slightly increases recoil.,"Переводит спусковой механизм в режим стрельбы одиночными патронами.\nУвеличивает скорострельность и немного повышает отдачу.\nНесовместима с другими модификациями такого же типа."
modGunTriggerGroupBurst3,item_modifiers,mod,,Trigger Group: Burst Mod,"Спусковой механизм: Модификация «Очередь с отсечкой» [73E9B2]УСМ[-]"
modGunTriggerGroupBurst3Desc,item_modifiers,mod,,Modifies the trigger group to fire 3 round bursts.\nIncreases the rate of fire and slightly increases recoil.,"Переводит спусковой механизм в режим автоматической стрельбы с отсечкой в три патрона.\nУвеличивает скорострельность и немного повышает отдачу.\nНесовместима с другими модификациями такого же типа."
modGunTriggerGroupAutomatic,item_modifiers,mod,,Trigger Group: Full Auto Mod,"Спусковой механизм: Модификация «Автоматический» [73E9B2]УСМ[-]"
modGunTriggerGroupAutomaticDesc,item_modifiers,mod,,Modifies the trigger group to fire full auto only.\nIncreases the rate of fire and slightly increases recoil.,"Переводит спусковой механизм в режим автоматического огня.\nУвеличивает скорострельность и немного повышает отдачу.\nТакже можно установить на роботизированную пушку.\nНесовместима с другими модификациями такого же типа."
modGunBipod,item_modifiers,mod,,Bipod Mod,"Модификация «Сошка» [73E9B2]Упор[-]"
modGunBipodDesc,item_modifiers,mod,,Increases accuracy and handling when aiming weapons.,"Увеличивает точность оружия и управляемость при наведении.\nНельзя установить на короткоствольное оружие."
modGunForegrip,item_modifiers,mod,,Fore Grip Mod,"Модификация «Передняя рукоятка» [73E9B2]Рукоять[-]"
modGunForegripDesc,item_modifiers,mod,,Improves handling and accuracy when firing weapons from the hip or while moving.,"Улучшает управляемость и точность при стрельбе из огнестрельного оружия от бедра или в движении.\nТакже можно установить на роботизированную пушку.\nНесовместима с другими модификациями такого же типа."
modGunRetractingStock,item_modifiers,mod,,Retracting Stock Mod,"Модификация «Складной приклад» [73E9B2]Рукоять[-]"
modGunRetractingStockDesc,item_modifiers,mod,,Improves weapon handling while moving or firing from the hip because the weapon becomes more manageable in close quarters.,"Улучшает управляемость оружия при стрельбе в движении и от бедра, оружие становится удобнее для стрельбы на короткие дистанции.\nНесовместима с другими модификациями такого же типа."
modShotgunSawedOffBarrel,item_modifiers,mod,,Sawed-Off Shotgun Mod,"Модификация «Обрез» [73E9B2]Ствол[-]"
modShotgunSawedOffBarrelDesc,item_modifiers,mod,,Increases projectile spread.,"Увеличивает разброс дроби.\nТолько для дробовиков.\nНесовместима с другими модификациями такого же типа."
modGunDuckbill,item_modifiers,mod,,Shotgun Duckbill Mod,"Модификация «Веерная дульная насадка» [73E9B2]Ствол[-]"
modGunDuckbillDesc,item_modifiers,mod,,Modifies the spread to a horizontal pattern instead of the normal round one.,"Изменяет шаблон разброса дроби с радиального на горизонтальный.\nПодходит для дробовиков и роботизированных пушек.\nНесовместима с другими модификациями такого же типа."
modGunChoke,item_modifiers,mod,,Shotgun Choke Mod,"Модификация «Чок для дробовика» [73E9B2]Ствол[-]"
modGunChokeDesc,item_modifiers,mod,,Tightens the shotgun's spread.,"Уменьшает разброс оружия.\nПодходит для дробовиков и роботизированных пушек.\nНесовместима с другими модификациями такого же типа."
modGunMagazineExtender,item_modifiers,mod,,Magazine Extender Mod,"Модификация «Увеличенный магазин» [73E9B2]Обойма[-]"
modGunMagazineExtenderDesc,item_modifiers,mod,,Increases magazine capacity.,"Увеличивает ёмкость магазина.\nТакже можно установить на роботизированную пушку.\nНесовместима с другими модификациями такого же типа."
modGunDrumMagazineExtender,item_modifiers,mod,,Drum Magazine Mod,"Модификация «Барабанный магазин» [73E9B2]Обойма[-]"
modGunDrumMagazineExtenderDesc,item_modifiers,mod,,This large drum magazine doubles ammo capacity on machine guns but is a little slower to reload.,"Этот большой барабанный магазин удваивает емкость стандартного магазина, но немного замедляет перезарядку.\nМожно установить на пулемёты и автоматические дробовики.\nНесовместима с другими модификациями такого же типа."
modGunShotgunTubeExtenderMagazine,item_modifiers,mod,,Shotgun Tube Extender Mod,"Модификация ствола «Увеличенный магазин» [73E9B2]Ствол[-]"
modGunShotgunTubeExtenderMagazineDesc,item_modifiers,mod,"Increases magazine capacity for pump shotguns by 3 shells.,,Увеличивает ёмкость магазина помпового ружья на 3 патрона.\nНесовместима с другими модификациями такого же типа."
modGunCrippleEm,item_modifiers,mod,,Cripple 'Em Mod,"Модификация «Разрывные пули» [73E9B2]Калечащий[-]"
modGunCrippleEmDesc,item_modifiers,mod,,20% chance to cripple a leg on a bipedal target.,,20% вероятность искалечить ногу двуногой цели.\nСовместима с большинством оружия дальнего боя.\nНесовместима с другими модификациями такого же типа."
modGunBowPolymerString,item_modifiers,mod,,Polymer String Mod,"Модификация «Синтетическая тетива» [73E9B2]Скорость[-]"
modGunBowPolymerStringDesc,item_modifiers,mod,,Arrows and Bolts fly quicker and further with this modification.,"С ней стрелы и болты летят быстрее и дальше.\nНесовместима с другими модификациями такого же типа."
modGunBowArrowRest,item_modifiers,mod,,Arrow Rest Mod,"Модификация «Полка для стрельбы» [73E9B2]Точность[-]"
modGunBowArrowRestDesc,item_modifiers,mod,,An arrow rest improves the accuracy of a bow.,"Полка для стрельбы увеличивает точность лука.\nНесовместима с другими модификациями такого же типа."
modGunMeleeTheHunter,item_modifiers,mod,,The Hunter Mod,"Модификация «Охотник» [73E9B2]Спец[-]"
modGunMeleeTheHunterDesc,item_modifiers,mod,,+25% more damage to all animals.,"+25% урон по всем животным.\nПодходит для большинства инструментов и оружия."
modGunMeleeRadRemover,item_modifiers,mod,,Rad Remover Mod,"Модификация «Подавитель радиации» [73E9B2]Спец[-]"
modGunMeleeRadRemoverDesc,item_modifiers,mod,,Will disable the regeneration ability of radiated zombies for 90 seconds.,"Блокирует регенеративные способности облученных зомби на 90 секунд.\nПодходит для большинства инструментов и оружия."
modGunMeleeNiCdBattery,item_modifiers,mod,,NiCd Battery Mod,"Модификация «Никель-кадмиевый аккумулятор» [73E9B2]Спец[-]"
modGunMeleeNiCdBatteryDesc,item_modifiers,mod,,A shocking addition to weapons.,"Оглушающее дополнение к оружию.\nПодходит для большинства инструментов и оружия."
modGunMeleeFlammableOil,item_modifiers,mod,,Flammable Oil Mod,"Модификация «Горючее масло» [73E9B2]Спец[-]"
modGunMeleeFlammableOilDesc,item_modifiers,mod,,Can set enemies on fire.,"Может поджечь врагов.\nПодходит для большинства инструментов и оружия."
modGunMeleeLiquidNitrogen,item_modifiers,mod,,Liquid Nitrogen Mod,"Модификация «Жидкий азот» [73E9B2]Спец[-]"
modGunMeleeLiquidNitrogenDesc,item_modifiers,mod,,Briefly freezes enemies.,"Замораживает врагов на короткое время.\nПодходит для большинства инструментов и оружия."
modMeleeTemperedBlade,item_modifiers,mod,,Tempered Blade Mod,"Модификация «Закаленная сталь» [73E9B2]Лезвие[-]"
modMeleeTemperedBladeDesc,item_modifiers,mod,,This blade modification increases block damage by 10% and lowers degradation by 15%.,"С этой модификацией лезвия урон по блокам повышается на 10%, а само оружие приходит в негодность на 15% медленнее.\nМожно установить на топоры, кастеты, оружие с лезвием, копья и лопаты.\nНесовместима с другими модификациями такого же типа."
modMeleeSerratedBlade,item_modifiers,mod,,Serrated Blade Mod,"Модификация «Зазубренное лезвие» [73E9B2]Лезвие[-]"
modMeleeSerratedBladeDesc,item_modifiers,mod,,10% chance to cause a Bleeding Wound on a regular attack.,"С вероятностью 10% наносит кровоточащую рану при обычной атаке.\nМожно установить на топоры, кастеты, оружие с лезвием, копья и лопаты.\nНесовместима с другими модификациями такого же типа."
modMeleeWeightedHead,item_modifiers,mod,,Weighted Head Mod,"Модификация «Утяжелитель» [73E9B2]Наконечник[-]"
modMeleeWeightedHeadDesc,item_modifiers,mod,,A modification for all melee weapons and tools.\nAdds a chance to stun and slow victims.\n\nKnives and machetes do not have a head that can be weighted.,"Модификация для любого оружия ближнего боя и инструмента.\nДобавляет вероятность оглушить или замедлить жертву.\n\nУ ножей и мачете нет наконечника, который можно взвесить.\nПодходит для роботизированного молота.\nНесовместима с другими модификациями такого же типа."
modMeleeStructuralBrace,item_modifiers,mod,,Structural Brace Mod,"Модификация «Конструктивное усиление» [73E9B2]Прочность[-]"
modMeleeStructuralBraceDesc,item_modifiers,mod,,This modification for melee weapons and tools lowers degradation by 25%.,"С этой модификацией оружие ближнего боя, инструменты и луки/арбалеты приходят в негодность на 25% медленнее.\nНесовместима с другими модификациями такого же типа."
modMeleeErgonomicGrip,item_modifiers,mod,,Ergonomic Grip Mod,"Модификация «Эргономичная рукоять» [73E9B2]Выживание[-]"
modMeleeErgonomicGripDesc,item_modifiers,mod,,Decreases melee stamina usage by 10% and increases weapon handling of bows by 10%.,"Снижает расход выносливости для оружия ближнего боя на 10% и увеличивает управляемость луков на 10%.\nНесовместима с другими модификациями такого же типа."
modMeleeFortifyingGrip,item_modifiers,mod,,Fortifying Grip Mod,"Модификация «Усиленная рукоять» [73E9B2]Выживание[-]"
modMeleeFortifyingGripDesc,item_modifiers,mod,,When health is below 50% gain 1 hit point every 5 seconds.,"Восстанавливает 1 ОЖ каждые 5 секунд, когда уровень здоровья опускается ниже 50%.\nПодходит для большинства инструментов и оружия ближнего боя.\nНесовместима с другими модификациями такого же типа."
modMeleeClubBarbedWire,item_modifiers,mod,,Barbed Wire Mod,"Модификация «Колючая проволока» [73E9B2]Оглушение[-]"
modMeleeClubBarbedWireDesc,item_modifiers,mod,"20% chance to cause bleeding damage, 40% with power attacks.\nCan be installed in clubs.","С вероятностью 20% (при силовых атаках - 40%) вызывает кровотечение.\nМожно наматывать на дубины.\nНесовместима с другими модификациями такого же типа."
modMeleeClubMetalSpikes,item_modifiers,mod,,Metal Spikes Mod,"Модификация «Металлические шипы» [73E9B2]Оглушение[-]"
modMeleeClubMetalSpikesDesc,item_modifiers,mod,,Each successive hit lowers enemies armor rating 20%.\nCan be installed in clubs.,,Каждое успешное попадание снижает показатель брони противника на 20%.\nМожно установить на дубины.\nНесовместима с другими модификациями такого же типа."
modMeleeClubMetalChain,item_modifiers,mod,,Metal Chain Mod,"Модификация «Стальная цепь» [73E9B2]Оглушение[-]"
modMeleeClubMetalChainDesc,item_modifiers,mod,,10% chance to knock down opponents.\nCan be installed in clubs.,"С вероятностью 10% позволяет сбить противника с ног.\nМожно наматывать на дубины.\nНесовместима с другими модификациями такого же типа."
modMeleeClubBurningShaft,item_modifiers,mod,,Burning Shaft Mod,"Модификация «Пылающий прут» [73E9B2]Оглушение[-]"
modMeleeClubBurningShaftDesc,item_modifiers,mod,,A melee item can double as a light source and set enemies on fire.\nCan be installed in melee tools and weapons that have a long shaft or blade.,"Предмет для ближнего боя, может использоваться для освещения и для поджигания врагов.\nМожно установить на предметы для ближнего боя и оружие с длинным древком или клинком.\nНесовместима с другими модификациями такого же типа."
modMeleeFiremansAxeMod,item_modifiers,mod,,Fireman's Axe Mod,"Модификация «Пожарный топор» [73E9B2]Добыча[-]"
modMeleeFiremansAxeModDesc,item_modifiers,mod,,Deal 25% more damage to blocks but 25% less damage to enemies.,"Модификация «Пожарный топор».  Наносит на 25% больше урона по блокам, но на 25% меньше урона врагам.\nУстанавливается на топоры."
modMeleeGraveDigger,item_modifiers,mod,,Grave Digger Mod,"Модификация «Расхититель могил» [73E9B2]Урон от лопат[-]"
modMeleeBunkerBuster,item_modifiers,mod,,Bunker Buster Mod,"Модификация «Подрывник» [73E9B2]Добыча[-]"
modMeleeBunkerBusterDesc,item_modifiers,mod,,25% more damage against stone.,"Увеличивает на 25% урон по камню и каменным конструкциям.\nПодходит для большинства инструментов и оружия ближнего боя."
modMeleeIronBreaker,item_modifiers,mod,,Iron Breaker Mod,"Модификация «Железолом» [73E9B2]Добыча[-]"
modMeleeIronBreakerDesc,item_modifiers,mod,,15% more damage against iron.,"Увеличивает на 15% урон по железу, а также железным/стальным конструкциям.\nПодходит для большинства инструментов и оружия ближнего боя."
modMeleeWoodSplitter,item_modifiers,mod,,Wood Splitter Mod,"Модификация «Колун» [73E9B2]Добыча[-]"
modMeleeWoodSplitterDesc,item_modifiers,mod,,15% more damage against wood.,"Увеличивает на 15% урон по дереву и конструкциям из него.\nПодходит для большинства инструментов и оружия ближнего боя."
modMeleeDiamondTip,item_modifiers,mod,,Diamond Blade Tip Mod,"Модификация «Алмазное напыление» [73E9B2]Прочность[-]"
modMeleeDiamondTipDesc,item_modifiers,mod,,Any hand tool or bladed weapon degrades 40% slower with this modification.,"С этой модификацией ручной инструмент, кастеты, копья и оружие с лезвием приходят в негодность на 40% медленнее.\nНесовместима с другими модификациями такого же типа."
modMeleeStunBatonRepulsor,item_modifiers,mod,,Stun Baton Repulsor Mod,"Модификация «Репульсор оглушающего жезла» [73E9B2]Отбрасывание[-]"
modMeleeStunBatonRepulsorDesc,item_modifiers,mod,,Install this mod into a stun baton and send zombies flying on the charged hit.,"Установите эту модификацию на оглушающий жезл и разбрасывайте зомби ударами электричества.\nНесовместима с другими модификациями такого же типа."
modFuelTankSmall,item_modifiers,mod,,Motor Tool Small Tank Mod,"Модификация «Малый бак бензоинструмента» [73E9B2]Топливо[-]"
modFuelTankSmallDesc,item_modifiers,mod,,Increases tank size by 50% for chainsaws and augers.,"Увеличивает объем бака бензопил и буров на 50%.\nНесовместима с другими модификациями такого же типа."
modFuelTankLarge,item_modifiers,mod,,Motor Tool Large Tank Mod,"Модификация «Большой бак бензоинструмента» [73E9B2]Топливо[-]"
modFuelTankLargeDesc,item_modifiers,mod,,Increases tank size by 100% for chainsaws and augers.,"Увеличивает объем бака бензопил и буров на 100%.\nНесовместима с другими модификациями такого же типа."

meleeToolRepairT0StoneAxe,items,Tool,,"Stone Axe [73E9B2]Т0[-]","Каменный топор [73E9B2]Т0[-]"
meleeToolRepairT0StoneAxeDesc,items,Tool,,"A primitive tool useful for cutting wood, mining stone, repairing & upgrading walls, doors & windows. Not the best weapon.\n\nScrap to Small Stone.","Простейший инструмент для рубки дерева, добычи камня, ремонта и улучшения стен, дверей, окон. Не лучшее оружие.\n\nРазломайте, чтобы получить маленький камень."
meleeToolRepairT0TazasStoneAxe,items,Tool,,"Taza's Stone Axe [73E9B2]Т0[-]","Каменный топор Тазы [73E9B2]Т0[-]"
meleeToolRepairT0TazasStoneAxeDesc,items,Tool,,"Taza's stone axe is a rare, powerful, ancient Indian artifact. The Apache believed those who wielded it were invincible in battle.","Каменный топор Тазы – редкий древний мощный индейский артефакт. Апачи верили, что тот, кто держит этот топор, неуязвим в битве."
meleeToolRepairT1ClawHammer,items,Tool,,"Claw Hammer [73E9B2]Т1[-]","Молоток-гвоздодёр [73E9B2]Т1[-]"
meleeToolRepairT1ClawHammerDesc,items,Tool,,The claw hammer is great for repairing and upgrading base walls and not bad as a weapon.\n\nScrap to Iron.,"Молоток-гвоздодёр отлично подходит для ремонта и усовершенствования стен. Он неплох и в качестве оружия.\n\nРазбирается на железо."
meleeToolRepairT3Nailgun,items,Tool,,"Nailgun [73E9B2]Т3[-]","Гвоздомёт [73E9B2]Т3[-]"
meleeToolRepairT3NailgunDesc,items,Tool,,The nail gun is the best tool for repairing and upgrading base walls and not a bad weapon to boot if you have nails.\n\nScrap to Mechanical parts.,"Гвоздомёт – лучший инструмент для ремонта и усовершенствования стен, к тому же неплохое оружие, если у вас есть гвозди.\n\nРазбирается на механические части."
meleeToolAxeT1IronFireaxe,items,Tool,,"Iron Fireaxe [73E9B2]Т1[-]","Железный пожарный топор [73E9B2]Т1[-]"
meleeToolAxeT1IronFireaxeDesc,items,Tool,,The fireaxe is good for harvesting wood.\n\nScrap to Iron.,"Пожарный топор хорош для добычи дерева.\n\nРазбирается на железо."
meleeToolAxeT2SteelAxe,items,Tool,,"Steel Axe [73E9B2]Т2[-]","Стальной топор [73E9B2]Т2[-]"
meleeToolAxeT2SteelAxeDesc,items,Tool,,The steel axe has a durable blade and is great for harvesting wood.\n\nScrap to Steel Tool parts.,"Стальной топор имеет более прочное лезвие и отлично подходит для добычи дерева.\n\nРазбирается на части стального инструмента."
meleeToolPickT1IronPickaxe,items,Tool,,"Iron Pickaxe  [73E9B2]Т1[-]","Железная кирка [73E9B2]Т1[-]"
meleeToolPickT1IronPickaxeDesc,items,Tool,,The iron pickaxe is great for breaking stone and harvesting minerals.\n\nScrap to Iron.,"Железная кирка хороша для дробления камня и добычи полезных ископаемых.\n\nРазбирается на железо."
meleeToolPickT2SteelPickaxe,items,Tool,,"Steel Pickaxe [73E9B2]Т3[-]","Стальная кирка [73E9B2]Т3[-]"
meleeToolPickT2SteelPickaxeDesc,items,Tool,,The steel pickaxe is best for breaking stone and harvesting minerals.\n\nScrap to Steel Tool parts.,Стальная кирка лучше всего подходит для дробления камня и добычи полезных ископаемых.\n\nРазбирается на части стального инструмента.
meleeToolShovelT0StoneShovel,items,Tool,,"Stone Shovel [73E9B2]Т0[-]","Каменная лопата [73E9B2]Т0[-]"
meleeToolShovelT0StoneShovelDesc,items,Tool,,"The stone shovel is a primitive tool useful for digging dirt, sand or snow.\n\nScrap to Small Stone.","Каменная лопата — простейший инструмент для того, чтобы копать землю, песок, снег.\n\nРазломайте, чтобы получить маленький камень."
meleeToolShovelT1IronShovel,items,Tool,,"Iron Shovel [73E9B2]Т1[-]","Железная лопата [73E9B2]Т1[-]"
meleeToolShovelT1IronShovelDesc,items,Tool,,"The iron shovel is great for digging through earth, sand or snow.\n\nScrap to Iron.","Железная лопата хорошо подходит для того, чтобы копать землю, песок, снег.\n\nРазбирается на железо."
meleeToolShovelT2SteelShovel,items,Tool,,"Steel Shovel [73E9B2]Т2[-]","Стальная лопата [73E9B2]Т2[-]"
meleeToolShovelT2SteelShovelDesc,items,Tool,,"The steel shovel is very durable and the ideal tool for digging through earth, sand or snow.\n\nScrap to Steel Tool parts.","Стальная лопата — очень прочная, идеально подходит для того, чтобы копать землю, песок, снег.\n\nРазбирается на части стального инструмента."
meleeToolAxeT3Chainsaw,items,Tool,,"Chainsaw [73E9B2]Т3[-]","Бензопила [73E9B2]Т3[-]"
meleeToolAxeT3ChainsawDesc,items,Tool,,Chop down the biggest trees or zombies faster than Paul Bunyan with this great chainsaw that uses gasoline for fuel.\n\nRepair with a Repair Kit.\nScrap to Motor Tool Parts.,"С этой чудесной бензопилой можно валить огромные деревья или зомби быстрее, чем Пол Баньян.\n\nРазбирается на части бензоинструмента."
meleeToolPickT3Auger,items,Tool,,"Auger [73E9B2]Т3[-]","Бур [73E9B2]Т3[-]"
meleeToolPickT3AugerDesc,items,Tool,,Rock out with your auger out and be the envy of every miner when they see you sporting this sexy gas-powered auger.\n\nScrap to Motor Tool Parts.,"Отрывайтесь с этим прекрасным буром, заставьте других шахтёров вам завидовать при одном взгляде на этот пленительный бензиновый бур у вас в руках.\n\nРазбирается на части бензоинструмента."
meleeToolSalvageT1Wrench,items,Tool,,"Wrench [73E9B2]Т1[-]","Гаечный ключ [73E9B2]Т1[-]"
meleeToolSalvageT1WrenchDesc,items,Tool,,"Great for disassembling mechanical devices like cars, air conditioners and more.\n\nScrap to Iron.","Отлично подходит для разбора механических устройств вроде машин, кондиционеров и тому подобного.\n\nРазбирается на железо."
meleeToolSalvageT2Ratchet,items,Tool,,"Ratchet [73E9B2]Т2[-]","Ключ-трещотка [73E9B2]Т2[-]"
meleeToolSalvageT2RatchetDesc,items,Tool,,"Great for disassembling mechanical devices like cars, air conditioners and more.\n\nRepair with a Repair Kit.\nScrap to Steel Tool Parts.","Отлично подходит для разбора механических устройств вроде машин, кондиционеров и тому подобного.\n\nРазбирается на части стального инструмента."
meleeToolSalvageT3ImpactDriver,items,Tool,,"Impact Driver [73E9B2]Т3[-]","Гайковёрт [73E9B2]Т3[-]"
meleeToolSalvageT3ImpactDriverDesc,items,Tool,,"Great for disassembling mechanical devices like cars, air conditioners and more.\n\nScrap to Motor Tool Parts.","Отлично подходит для разбора механических устройств вроде машин, кондиционеров и тому подобного.\n\nРазбирается на части бензоинструмента."
meleeWpnBladeT0BoneKnife,items,Melee,,"Bone Knife [73E9B2]Т0[-]","Костяной нож [73E9B2]Т0[-]"
meleeWpnBladeT0BoneKnifeDesc,items,Melee,,This primitive makeshift weapon is also useful for gutting animals.\nPower attacks cause at least 2 Bleeding Wound.\n\nScrap to Bone.,"Это примитивное самодельное оружие можно использовать для потрошения животных.\nСиловая атака, в отличие от обычной, наносит как минимум 2 кровоточащих раны.\n\nРазломайте, чтобы получить кости."
meleeWpnBladeT1HuntingKnife,items,Melee,,"Hunting Knife [73E9B2]Т1[-]","Охотничий нож [73E9B2]Т1[-]"
meleeWpnBladeT1HuntingKnifeDesc,items,Melee,,Great for slashing zombies and gutting animals for meat.\nPower attacks cause at least 2 Bleeding Wound.\n\nScrap to Iron.,"Незаменим для кромсания зомби и разделки животных на мясо.\nСиловая атака, в отличие от обычной, наносит как минимум 2 кровоточащих раны.\n\nРазбирается на железо."
meleeWpnBladeT1CandyKnife,items,Melee,,"Candy Cane Knife [73E9B2]Т1[-]","Нож из карамельной трости [73E9B2]Т1[-]"
meleeWpnBladeT1CandyKnifeDesc,items,Melee,,"Time to get into a festive and stabby mood!\nPower attacks cause at least 2 Bleeding Wound.","Время для праздничного маниакального настроения!\nСиловая атака, в отличие от обычной, наносит как минимум 2 кровоточащих раны."
meleeWpnBladeT3Machete,items,Melee,,"Machete [73E9B2]Т3[-]","Мачете [73E9B2]Т3[-]"
meleeWpnBladeT3MacheteDesc,items,Melee,,Great for chopping zombies and sometimes trees and gutting animals for meat.\nPower attacks cause at least 2 Bleeding Wound.\n\nScrap to Machete parts.,"Незаменимо для рубки зомби, временами – деревьев, и разделки животных на мясо.\nСиловая атака, в отличие от обычной, наносит как минимум 2 кровоточащих раны.\n\nРазбирается на части мачете."
meleeWpnClubT0WoodenClub,items,Melee,,"Wooden Club [73E9B2]Т0[-]","Деревянная дубинка [73E9B2]Т0[-]"
meleeWpnClubT0WoodenClubDesc,items,Melee,,A wooden club. Good for breaking knees and skulls.\n\nScrap to Wood.,"Деревянная дубинка. Хорошо подходит для того, чтобы ломать колени и черепа... кому-то не очень сильному.\n\nРазбирается на дерево."
meleeWpnClubT1BaseballBat,items,Melee,,"Baseball Bat [73E9B2]Т1[-]","Бейсбольная бита [73E9B2]Т1[-]"
meleeWpnClubT1BaseballBatDesc,items,Melee,,This club was used in gladiatorial games of the past that were held in huge arenas.\n\nScrap to Wood.,"В прошлом эта дубинка использовалась в битвах гладиаторов на огромных аренах.\n\nРазбирается на дерево."
meleeWpnClubT1CandyClub,items,Melee,,"Candy Cane Club [73E9B2]Т1[-]","Дубинка из карамельной трости [73E9B2]Т1[-]"
meleeWpnClubT1CandyClubDesc,items,Melee,,"Happy beatdown days!","Счастливого дня избиения!"
meleeWpnClubT3SteelClub,items,Melee,,"Steel Club [73E9B2]Т3[-]","Стальная дубина [73E9B2]Т3[-]"
meleeWpnClubT3SteelClubDesc,items,Melee,,Steel clubs are very durable and hard-hitting.\n\nScrap to Steel Club Parts.,"Очень прочная стальная дубина, способная наносить мощные удары.\n\nРазбирается на части стальной дубины."
meleeWpnBatonT0PipeBaton,items,Melee,,"Pipe Baton [73E9B2]Т0[-]","Дубинка из трубы [73E9B2]Т0[-]"
meleeWpnBatonT0PipeBatonDesc,items,Melee,,This baton crafted from junk is light weight but still packs a decent punch.\n\nScrap to Iron.,"Эта сделанная из хлама дубинка лёгкая, но неплохо бьёт в умелых руках.\n\nРазбирается на железо."
meleeWpnBatonT2StunBaton,items,Melee,,"Stun Baton [73E9B2]Т2[-]","Оглушающий жезл [73E9B2]Т2[-]"
meleeWpnBatonT2StunBatonDesc,items,Melee,,Goes zap.\n\nScrap to Stun Baton parts.,Электрошокер.\n\nРазбирается на части оглушающего жезла.
meleeWpnSpearT0StoneSpear,items,Melee,,"Stone Spear [73E9B2]Т0[-]","Каменное копьё [73E9B2]Т0[-]"
meleeWpnSpearT0StoneSpearDesc,items,Melee,,Spears have more range than other melee weapons.\n\nScrap to Small Stone.,"Копья позволяют держать врагов на большем расстоянии, чем другое оружие ближнего боя.\n\nРазбирается на маленький камень."
meleeWpnSpearT1IronSpear,items,Melee,,"Iron Spear [73E9B2]Т1[-]","Железное копьё [73E9B2]Т1[-]"
meleeWpnSpearT1IronSpearDesc,items,Melee,,Spears have more range than other melee weapons.\n\nScrap to Iron.,"Копья позволяют держать врагов на большем расстоянии, чем другое оружие ближнего боя.\n\nРазбирается на железо."
meleeWpnSpearT3SteelSpear,items,Melee,,"Steel Spear [73E9B2]Т3[-]","Стальное копьё [73E9B2]Т3[-]"
meleeWpnSpearT3SteelSpearDesc,items,Melee,,Spears have more range than other melee weapons.\n\nScrap to Steel Spear parts.,"Копья позволяют держать врагов на большем расстоянии, чем другое оружие ближнего боя.\n\nРазбирается на части стального копья."
meleeWpnSledgeT0StoneSledgehammer,items,Melee,,"Stone Sledgehammer [73E9B2]Т0[-]","Каменная кувалда [73E9B2]Т0[-]"
meleeWpnSledgeT0StoneSledgehammerDesc,items,Melee,,The sledgehammer is one of the best weapons for cracking skulls.\n\nScrap to Small Stone.,"Кувалды — лучшее оружие для дробления черепов.\n\nРазломайте, чтобы получить маленький камень."
meleeWpnSledgeT1IronSledgehammer,items,Melee,,"Iron Sledgehammer [73E9B2]Т1[-]","Железная кувалда [73E9B2]Т1[-]"
meleeWpnSledgeT1IronSledgehammerDesc,items,Melee,,The sledgehammer is one of the best weapons for cracking skulls.\n\nRepair with a Repair Kit.\nScrap to Iron.,"Кувалды, пожалуй, лучшее оружие для того, чтобы дробить головы.\n\nРазбирается на железо."
meleeWpnSledgeT3SteelSledgehammer,items,Melee,,"Steel Sledgehammer [73E9B2]Т3[-]","Стальная кувалда [73E9B2]Т3[-]"
meleeWpnSledgeT3SteelSledgehammerDesc,items,Melee,,The sledgehammer is one of the best weapons for cracking skulls.\n\nScrap to Steel Sledgehammer parts.,"Кувалды, пожалуй, лучшее оружие для того, чтобы дробить головы.\n\nРазбирается на части стальной кувалды."
meleeWpnKnucklesT0LeatherKnuckles,items,Melee,,"Knuckle Wraps [73E9B2]Т0[-]","Кожаная обмотка [73E9B2]Т0[-]"
meleeWpnKnucklesT0LeatherKnucklesDesc,items,Melee,,Leather knuckle wraps to protect your hands and put some weight into those swings.\n\nScrap to Leather.,"Кожаные ремни, намотанные на руки, защищают кисти и добавляют веса при ударах.\n\nРазломайте, чтобы получить кожу."
meleeWpnKnucklesT1IronKnuckles,items,Melee,,"Iron Knuckles [73E9B2]Т1[-]","Железный кастет [73E9B2]Т1[-]"
meleeWpnKnucklesT1IronKnucklesDesc,items,Melee,,Protect your hands and put some weight into those swings.\n\nScrap to Iron.,Защищает кисти рук и добавляет веса при ударах.\n\nРазбирается на железо.
meleeWpnKnucklesT3SteelKnuckles,items,Melee,,"Steel Knuckles [73E9B2]Т3[-]","Стальной кастет [73E9B2]Т3[-]"
meleeWpnKnucklesT3SteelKnucklesDesc,items,Melee,,Protect your hands and put some weight into those swings. These blades can also be useful for gutting animals.\n\nScrap to Steel Knuckles parts.,Защищает кисти рук и добавляет веса при ударах. Его лезвиями удобно потрошить животных.\n\nРазбирается на части стального кастета.
gunHandgunT0PipePistol,items,Gun,,"Pipe Pistol [73E9B2]Т0[-]","Пистолет из трубы [73E9B2]Т0[-]"
